'Company Name', 'Internationale Vorwahl', 'Telefon', 'Telefax', 'Email', 'Internet', 'Bankverbindung', 'Straße-Adresse', 'Hausnummer', 'PLZ', 'Ort', 'Regierungsbezirk', 'Bundesland', 'Land', 'Zusätzl. Informationen', 'Rechtsform (kurz)', 'Hauptbranche WZ 2008', 'Top-Management'
CSW solutions GmbH,+43,07252 72666,07252 7266611, office@as-csw.at, www.as-csw.at,UniCredit Bank Austria AG 4400 Steyr (20338),Dornacher Straße,1,4407,Steyr-Gleink,Steyr(Stadt),Oberösterreich,AT,Steyr-Gleink,GmbH,62030Betrieb von Datenverarbeitungseinrichtungen für Dritte,Geschäftsführer? vertritt seit 25.11.2016 selbständig|Andre Stickler (m)f401713140#p401713140?401713141?120iconCompProfLink1978? Wolfern|N/A|04.01.2011|
CT Chemie GmbH,+43,01 8673434,01 867343420, info@ct-chemie.at, www.ct-chemie.at,Gärtnerbank reg.Gen.m.b.H. 1232 Wien? UniCredit Bank Austria AG 1030 Wien (40430? 20151),Eitnergasse,7,1230,Wien,Wien 23.?Liesing,Wien,AT,Wien,GmbH,46734Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen,Geschäftsführer? vertritt seit 08.04.1995 selbständig|KR. Willibald Popp (m)f400491720#p400491720?400727270?120iconCompProfLink1944? Wien|N/A|08.04.1995|
CTB Automatisierungstechnik GmbH,+43,03182 49490,03182 49490199, ctb@c-n-t.at, www.ctb.co.at,Raiffeisenbank Pischelsdorf-Stubenberg reg.Gen.m.b.H. 8223 Stubenberg? Steiermärkische Bank und Sparkassen Aktiengesellschaft 8010 Graz (38285? 20815),Philipsstraße,37,8403,Lebring,Leibnitz,Steiermark,AT,Lebring,GmbH,27110Herstellung von Elektromotoren? Generatoren und Transformatoren,Geschäftsführer? vertritt seit 11.08.1992 selbständig|Ingenieur Helmut Herbst (m)f400087211#p400087211?400922316?120iconCompProfLink1960? Wildon|N/A|01.01.1992|
CTI Meeting Technology GmbH,+43,01 3196999,01 319699933, office@webges.com, www.webges.com,Raiffeisenlandesbank Niederösterreich-Wien AG 1010 Wien (31100),Nußdorfer Straße,20,1090,Wien,Wien  9.?Alsergrund,Wien,AT,Wien,GmbH,62030Betrieb von Datenverarbeitungseinrichtungen für Dritte,Geschäftsführer? vertritt seit 01.07.2004 selbständig|Dr. Richard Rettenbacher (m)f401413795#p401413795?401180413?120iconCompProfLink1975? Kierling|N/A|01.07.2004|
CTP Chemisch Thermische Prozesstechnik GmbH,+43,0316 41010,0316 410180, office@ctp.at, www.ctp.at,Steiermärkische Bank und Sparkassen Aktiengesellschaft 8010 Graz? UniCredit Bank Austria AG 8011 Graz (20815? 12760),Schmiedlstraße,10,8042,Graz-St. Peter,Graz(Stadt),Steiermark,AT,Graz-St. Peter,GmbH,28250Herstellung von kälte- und lufttechnischen Erzeugnissen? nicht für den Haushalt,Geschäftsführer? vertritt seit 14.02.2014 selbständig|Dipl.Ing. Michael Klimisch (m)f400033481#p400033481?402415194?120iconCompProfLink1969? Graz|N/A|27.02.2014|!Geschäftsführer? vertritt seit 14.02.2014 selbständig|Mag. Robert Kobierski (m)f400033481#p400033481?400989520?120iconCompProfLink1963? Graz|N/A|27.02.2014|
CTP-DUMAG GmbH,+43,0720 595404,0720 59540499, office@ctp-dumag.com, www.ctp-dumag.com,UniCredit Bank Austria AG 2352 Gumpoldskirchen (20151),Am Kanal,8-10,2352,Gumpoldskirchen,Mödling,Niederösterreich,AT,Gumpoldskirchen,GmbH,28290Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,Geschäftsführer? vertritt seit 22.12.2011 selbständig|Dipl.Ing. Robert Josef Schröger (m)f402062170#p402062170?401384896?120iconCompProfLink1964? Wien|N/A|29.12.2011|
CTR Carinthian Tech Research AG,+43,04242 53184,04242 56300400, info@ctr.at, www.ctr.at,UniCredit Bank Austria AG 9500 Villach? BKS Bank AG 9500 Villach (11810? 17200),High Tech Campus Villach Europastraße,12,9524,Villach,Villach(Stadt),Kärnten,AT,Villach,AG,82999Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.,Vorstand? vertritt seit 01.02.2008 gemeinsam mit einem weiteren Vorstandsmitglied oder gemeinsam mit einem Prokuristen|Dipl.Ing. Simon Grasser (m)f400940269#p400940269?401614580?113iconCompProfLink1971? Klagenfurt|N/A|06.03.2008|!Vorstand? vertritt seit 01.02.2008 gemeinsam mit einem weiteren Vorstandsmitglied oder gemeinsam mit einem Prokuristen|Dr. Werner Scherf (m)f400940269#p400940269?401207457?113iconCompProfLink1966? Velden am Wörther See|N/A|21.11.2006|!Geschäftsleitung? vertritt seit 06.03.2008 gemeinsam mit einem Vorstandsmitglied oder gemeinsam mit einem weiteren Prokuristen|Georg Schlüter (m)f400940269#p400940269?401479001?131iconCompProfLink1960? Millstatt|Prokura|21.05.2005|
CTS GmbH competence for technical solutions,+43,01 699542020,01 699542019, N/A, www.group-cts.de,Oberbank AG 4020 Linz (15000),Rudolf Hausner-Gasse,5,1220,Wien,Wien 22.?Donaustadt,Wien,AT,Wien,GmbH,62019Sonstige Softwareentwicklung,Geschäftsführer? vertritt seit 04.09.2008 selbständig|Johann Gehringer (m)f401693191#p401693191?401693192?120iconCompProfLink1956|N/A|04.09.2008|!Geschäftsführer? vertritt seit 24.09.2008 selbständig|Robert Schüller (m)f401693191#p401693191?401591920?120iconCompProfLink1965|N/A|21.10.2008|!Geschäftsleitung? vertritt seit 16.04.2014 gemeinsam mit einem/einer Geschäftsführer/in oder einer/einem weiteren Prokuristin/Prokuristen|Ingenieur Paul Johannes Fellner (m)f401693191#p401693191?402424822?131iconCompProfLink1963? Ansfelden|Prokura|19.04.2014|!Geschäftsleitung? vertritt seit 04.04.2012 gemeinsam mit einem Geschäftsführer oder einem weiteren Prokuristen|Ingenieur Martin Klampfl (m)f401693191#p401693191?400776757?131iconCompProfLink1962? Pottenbrunn|Prokura|13.07.2012|
CTS - Complete Technical Solution, Ges.m.b.H.,+43,03862 3394213,03862 3394212, office@cts-austria.at, www.cts-austria.at,Raiffeisenbank Leoben-Bruck eGen 8605 Kapfenberg (38029),Halle,64,8605,Kapfenberg,Bruck an der Mur,Steiermark,AT,Kapfenberg,GmbH,71122Ingenieurbüros für technische Fachplanung und Ingenieurdesign,Geschäftsführer? vertritt seit 14.01.2017 selbständig|Ingenieur Helmut Riegler (m)f400846318#p400846318?400218414?120iconCompProfLink1957? Wartberg im Mürztal|N/A|24.01.2017|
CT&F Chemical Trade Gesellschaft m.b.H.,+43,01 5321547,01 532154730, office@ctf.at,N/A,UniCredit Bank Austria AG 1030 Wien (20151),Kärntner Ring,5-7,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,46750Großhandel mit chemischen Erzeugnissen,Geschäftsführer? vertritt seit 30.03.2000 selbständig|Aliaksandr Talkanitsa (m)f401075421#p401075421?401075424?120iconCompProfLink1962? Mödling|N/A|05.05.2000|
CU Industrie und Personals. Kupferer GmbH,+43,03832 30522,03832 30522, k.kupferer@aon.at,N/A,Raiffeisenbank St.Stefan - Kraubath eGen 8713 St. Stefan ob Leoben (38373),Bergmannstraße,25,8713,St. Stefan ob Leoben,Leoben,Steiermark,AT,St. Stefan ob Leoben,GmbH,78300Sonstige Überlassung von Arbeitskräften,Geschäftsführer? vertritt seit 13.08.2013 selbständig|Karl Kupferer (m)f402381184#p402381184?402012450?120iconCompProfLink1970? St. Stefan ob Leoben|N/A|13.08.2013|
Cube.art Bau GmbH,+43,01 8120205,N/A, N/A,N/A,UniCredit Bank Austria AG 1030 Wien (20151),Schönbrunner Straße,225,1120,Wien,Wien 12.?Meidling,Wien,AT,Wien,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Geschäftsführer? vertritt seit 04.01.2016 selbständig|Ingenieur Wolfgang Granser (m)f402040630#p402040630?400660757?120iconCompProfLink1962? Wien|N/A|29.10.2010|!Geschäftsleitung? vertritt seit 07.09.2015 selbständig|Dipl.Ing. Gert Joppich (m)f402040630#p402040630?402214049?131iconCompProfLink1969? Wien|Prokura|30.09.2015|
CubeServ GmbH,+43,01 2050166100,01 2050166101, info@cubeserv.com, www.cubeserv.com,Bankhaus Krentschker & Co. Aktiengesellschaft 8010 Graz (19520),Donaucitystraße,1,1220,Wien,Wien 22.?Donaustadt,Wien,AT,Wien,GmbH,62019Sonstige Softwareentwicklung,Geschäftsführer? vertritt seit 13.10.2016 selbständig|Adrian Bourcevet (m)f401544029#p401544029?402587404?120iconCompProfLink1971|N/A|18.10.2016|!Geschäftsführer? vertritt seit 29.03.2016 selbständig|Adrian Karl Stucki (m)f401544029#p401544029?402561315?120iconCompProfLink1971|N/A|22.04.2016|
cubido business solutions gmbh,+43,0732 671155,0732 67115520, office@cubido.at, www.cubido.at,Oberbank AG 4060 Leonding (15007),Haidfeldst.,33,4060,Leonding,Linz-Land,Oberösterreich,AT,Leonding,GmbH,62019Sonstige Softwareentwicklung,Geschäftsführer? vertritt seit 20.07.2007 selbständig|Wolfgang Ennikl (m)f401457346#p401457346?401457348?120iconCompProfLink1973? Leonding|N/A|27.07.2007|
CUBIT Information Technology Solutions GmbH,+43,01 71898800,01 718988011, office@cubit.at, www.cubit.at,VB Niederösterreich-Mitte Beteiligung e.G. 3100 St. Pölten? UniCredit Bank Austria AG 1010 Wien (47150? 12000),Zieglergasse,67,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,GmbH,62019Sonstige Softwareentwicklung,Geschäftsführer? vertritt seit 28.04.2004 selbständig|Ingenieur Peter Paul Witta (m)f401049697#p401049697?401175080?120iconCompProfLink1976? Wien|N/A|18.06.2002|
Cubro Acronet GesmbH,+43,01 29826660,01 2982666399, office@acronet.at, www.acronet.at,Raiffeisenlandesbank Niederösterreich-Wien AG 1010 Wien (31100),Ghegastraße,3,1030,Wien,Wien  3.?Landstraße,Wien,AT,Wien,GmbH,46431Großhandel mit Foto- und optischen Erzeugnissen,Geschäftsführer? vertritt seit 13.11.2003 selbständig|Christian Ferenz (m)f401376904#p401376904?400743625?120iconCompProfLink1964? Wien|N/A|13.11.2003|!Geschäftsleitung? vertritt seit 22.07.2005 selbständig|Sascha Naunovic (m)f401376904#p401376904?401493242?131iconCompProfLink1975? Wien|Prokura|27.07.2005|
CUBUS GmbH,+43,0699 10644179,N/A, office@beletage.ag, www.beletage.ag,Raiffeisenbank Kreuzenstein eGen 2100 Leobendorf (32438),Holzsteiner Straße,2-4,2201,Gerasdorf,Korneuburg,Niederösterreich,AT,Gerasdorf,GmbH,13990Herstellung von sonstigen Textilwaren a. n. g.,Geschäftsführer? vertritt seit 30.11.2006 selbständig|Dipl.Ing. Christoph Cejka (m)f400057749#p400057749?401519038?120iconCompProfLink1968? Wien|N/A|15.12.2006|
CUCU GmbH,+43,0664 3402347,N/A, N/A,N/A,N/A,Hofsteigstraße,54,6890,Lustenau,Dornbirn,Vorarlberg,AT,Lustenau,GmbH,56101Restaurants mit herkömmlicher Bedienung,Geschäftsführer? vertritt seit 04.04.2007 selbständig|Seyitveli Fidan (m)f401603702#p401603702?401603703?120iconCompProfLink1979? Lochau|N/A|04.04.2007|!Geschäftsführer? vertritt seit 03.10.2012 selbständig|Nikolaus Konstatzky (m)f401603702#p401603702?402015333?120iconCompProfLink1975|N/A|01.12.2012|
CUITEC Großküchentechnik GmbH,+43,0664 4442211,02287 4469, service@cuitec.at? 		verkauf@cuitec.at, www.cuitec.at,UniCredit Bank Austria AG 2285 Leopoldsdorf (20235),Gewerbeparkstraße,23,2282,Markgrafneusiedl,Gänserndorf,Niederösterreich,AT,Markgrafneusiedl,GmbH,46692Großhandel mit sonstigen Maschinen,Geschäftsführer? vertritt seit 25.08.2007 selbständig|Manfred Schieber (m)f401627498#p401627498?401387598?120iconCompProfLink1966? Strasshof|N/A|25.08.2007|
CultCrew Security GmbH,+43,0699 16676566,0662 842757, office@cultcrew.at, www.cultcrew.at,N/A,Erzabt-Klotz-Straße,8,5020,Salzburg,Salzburg(Stadt),Salzburg,AT,Salzburg,GmbH,80100Private Wach- und Sicherheitsdienste,Geschäftsführer? vertritt seit 20.08.2011 selbständig|Ingo Hufnagl (m)f402210559#p402210559?402210560?120iconCompProfLink1976|N/A|20.08.2011|
CULTURALL Handelsges.m.b.H.,+43,01 71254000,01 712540022, ticket@culturall.com, www.culturall.com,UniCredit Bank Austria AG 1030 Wien (20151),Am Modenapark,11,1030,Wien,Wien  3.?Landstraße,Wien,AT,Wien,GmbH,47789Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen),Geschäftsführer? vertritt seit 18.09.1993 selbständig|Dipl.Ing. Helmut Rainel (m)f400410017#p400410017?400410021?120iconCompProfLink1960? Wien|N/A|18.09.1993|
Cummins Diesel-Kögler Antriebstechnik GmbH,+43,02622 774180,02622 774184, office@cummins.at, www.cummins.at,UniCredit Bank Austria AG 1010 Wien (12000),Bahnstraße,57,2604,Theresienfeld,Wiener Neustadt(Land),Niederösterreich,AT,Theresienfeld,GmbH,46692Großhandel mit sonstigen Maschinen,Geschäftsführer? vertritt seit 21.12.2012 selbständig|Christian Kögler (m)f402346819#p402346819?401406328?120iconCompProfLink1967? Wr. Neustadt|N/A|21.12.2012|!Geschäftsführer? vertritt seit 21.12.2012 selbständig|Sylvia Kögler (w)f402346819#p402346819?400718039?120iconCompProfLink1970? Pöttsching|N/A|21.12.2012|
Cup Solutions Mehrweg GmbH,+43,01 71013870,01 710138787, info@cupsolutions.at, www.cupsolutions.at,UniCredit Bank Austria AG 1030 Wien (20151),Felmayergasse,2,1210,Wien,Korneuburg,Wien,AT,Wien,GmbH,46903Großhandel mit Fertigwaren? ohne ausgeprägten Schwerpunkt,Geschäftsführer? vertritt seit 12.04.2006 selbständig|Christian Chytil (m)f401543714#p401543714?401313805?120iconCompProfLink1976? Klosterneuburg|N/A|12.04.2006|
CURA-Marketing GmbH,+43,0512 262676,0512 26267620, office@cura.co.at, www.judith-williams.at,Raiffeisen-Landesbank Tirol AG 6020 Innsbruck (36000),Dr.-Franz-Werner-Straße,19,6020,Innsbruck,Innsbruck-Stadt,Tirol,AT,Innsbruck,GmbH,46450Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,Geschäftsführer? vertritt seit 09.02.1999 selbständig|Roland Kohl (m)f401016840#p401016840?400401495?120iconCompProfLink1955? Innsbruck|N/A|09.02.1999|
currycom communications GmbH,+43,01 59950,01 59950509, office@currycom.com, www.currycom.com,N/A,Mariahilfer Straße,99,1060,Wien,Wien  6.?Mariahilf,Wien,AT,Wien,GmbH,70210Public-Relations-Beratung,Geschäftsführer? vertritt seit 24.01.2006 gemeinsam mit einem weiteren Geschäftsführer|Christian W. Krpoun (m)f401355804#p401355804?400739032?120iconCompProfLink1965? Wien|N/A|21.02.2006|!Geschäftsführer? vertritt seit 24.01.2006 gemeinsam mit einem weiteren Geschäftsführer|Karin Luise Stasny (w)f401355804#p401355804?400602773?120iconCompProfLink1961? Wien|N/A|21.02.2006|
customer care solutions - Call Center Betriebs GmbH,+43,01 401900,01 40190999, office@customer-care-solutions.at, www.customer-care-solutions.at,UniCredit Bank Austria AG 1030 Wien (20151),Skodagasse,28,1080,Wien,Wien  8.?Josefstadt,Wien,AT,Wien,GmbH,82200Call Center,Geschäftsführer? vertritt seit 29.10.1999 selbständig|Ferdi Akdag (m)f401059426#p401059426?400624097?120iconCompProfLink1959? Wien|N/A|29.10.1999|
CutCut Österreich GmbH,+43,0662 481300,0662 48130040, salzburg@cutcut.at, www.cutcut.at,Oberbank AG? Zweigniederlassung Salzburg 5020 Salzburg (15090),Franz-Sauer-Straße,37,5020,Salzburg,Salzburg(Stadt),Salzburg,AT,Salzburg,GmbH,18130Druck- und Medienvorstufe,Geschäftsführer? vertritt seit 24.09.2011 selbständig|Florian Torsten Baumann (m)f402215691#p402215691?402215692?120iconCompProfLink1975|N/A|24.09.2011|
CVR Spedition und Lagerlogistik GmbH,+43,03127 809000,03127 80900200, office@cvr.at, www.cvr.at,Steiermärkische Bank und Sparkassen Aktiengesellschaft 8010 Graz (20815),Kesselfallstraße,8,8102,Semriach,Graz-Umgebung,Steiermark,AT,Semriach,GmbH,52291Spedition,Geschäftsführer? vertritt seit 08.05.2001 selbständig|Richard Cvörnjek (m)f401223373#p401223373?400217078?120iconCompProfLink1960? Semriach|N/A|08.05.2001|!Geschäftsleitung? vertritt seit 26.08.2005 selbständig|Gabriele Cvörnjek (w)f401223373#p401223373?400473843?131iconCompProfLink1965? Semriach|Prokura|02.09.2005|
CWM Bauprojekt Ges.m.b.H.,+43,01 3281616,01 3281716, office@cwm-bauprojekt.at, www.cwm-bauprojekt.at,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 1010 Wien (14000),Sieveringer Straße,133,1190,Wien,Wien 19.?Döbling,Wien,AT,Wien,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Geschäftsführer? vertritt seit 01.09.2005 selbständig|Ingenieur Thomas Moriggl (m)f401346545#p401346545?400929358?120iconCompProfLink1970? Wien|N/A|06.09.2005|
CWS-boco Österreich Gesellschaft m.b.H.,+43,02236 67030,02236 6703300, info@cws-boco.at, www.cws-boco.at,UniCredit Bank Austria AG 1030 Wien? immigon portfolioabbau ag 1090 Wien (20151? 40000),IZ-NÖ Süd? Straße,15,2355,Wr. Neudorf,N/A,Niederösterreich,AT,Wr. Neudorf,GmbH,46742Großhandel mit Installationsbedarf für Gas? Wasser und Heizung,Geschäftsführer? vertritt seit 30.09.2010 selbständig|Thomas Böttger (m)f400027165#p400027165?400217730?120iconCompProfLink1961? Baden bei Wien|N/A|13.04.1993|!Geschäftsleitung? vertritt seit 05.07.2002 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|Paul Hauer (m)f400027165#p400027165?401306601?131iconCompProfLink1967? Wien|Prokura|14.08.2002|!Geschäftsleitung? vertritt seit 05.07.2002 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|Josef Christian Kappel (m)f400027165#p400027165?401306602?131iconCompProfLink1966? Wien|Prokura|14.08.2002|
CWT-Beheermaatschappij B.V.,+43,01 24060100,01 24060555, info@carlsonwagonlit.at, www.carlsonwagonlit.at,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG 1020 Wien (32000),Handelskai,92,1200,Wien,Wien 20.?Brigittenau,Wien,AT,Wien,AlRf,79110Reisebüros,Geschäftsführer? vertritt seit 08.09.2014 gemeinsam mit einem weiteren Geschäftsführer|Jennifer Aste (w)f400906967#p400906967?402496719?120iconCompProfLink1972|N/A|17.07.2015|!Geschäftsführer? vertritt seit 12.07.2012 gemeinsam mit einem weiteren Geschäftsführer|Marinus Adriaan Karelse (m)f400906967#p400906967?402364608?120iconCompProfLink1962|N/A|19.04.2013|!Geschäftsführer? vertritt seit 30.06.2016 gemeinsam mit einem weiteren Geschäftsführer|Kelly Lynn Kuhn (m)f400906967#p400906967?402588794?120iconCompProfLink1965|N/A|26.10.2016|!Geschäftsführer? vertritt seit 01.01.2012 gemeinsam mit einem weiteren Geschäftsführer|Eric Michiel van Kuik (m)f400906967#p400906967?402327105?120iconCompProfLink1973|N/A|03.08.2012|!Geschäftsleitung? vertritt seit 01.05.2015 selbständig wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 001.|Pieter Anne Ashworth (m)f400906967#p400906967?402496720?131iconCompProfLink1967|Prokura|17.07.2015|!Geschäftsleitung? vertritt seit 09.10.2012 selbständig wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 001.|Patrick Emil Sedelmeier (m)f400906967#p400906967?402364609?131iconCompProfLink1971|Prokura|19.04.2013|!Geschäftsleitung? vertritt seit 12.11.2012 selbständig wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 001.|Katharina Barbara Turlo (w)f400906967#p400906967?402364610?131iconCompProfLink1969? Wien|Prokura|19.04.2013|
CYATHUS EXQUIRERE PharmaforschungsGmbH,+43,01 246460,01 24646666, office@cayathus.eu, www.cyathus.eu,UniCredit Bank Austria AG 1030 Wien (20151),Rudolfsplatz,2,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,21200Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen,Geschäftsführer? vertritt seit 27.09.2007 selbständig|Dr. Iervant Zarmanian (m)f401078107#p401078107?400964247?120iconCompProfLink1944? Wien|N/A|13.10.2007|!Geschäftsleitung? vertritt seit 08.03.2000 selbständig|Antonina Scibetta (w)f401078107#p401078107?401081424?131iconCompProfLink1962? Wien|Prokura|08.03.2000|
Cycleenergy Gaishorn GmbH,+43,01 537030,01 53703130, office@cycleenergy.com, www.cycleenergy.com,Raiffeisenbank Trieben registrierte Genossenschaft mit beschränkter Haftung 8783 Gaishorn (38348),Hietzinger Hauptstraße,66,1130,Wien,Wien 13.?Hietzing,Wien,AT,Wien,GmbH,47523Einzelhandel mit Anstrichmitteln? Bau- und Heimwerkerbedarf,Geschäftsführer? vertritt seit 08.11.2016 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Mag. Michael Moser (m)f401836110#p401836110?402593485?120iconCompProfLink1981? Wien|N/A|30.11.2016|!Geschäftsführer? vertritt seit 29.08.2011 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Stephan Oliver Schuster (m)f401836110#p401836110?401210645?120iconCompProfLink1968? Wien|N/A|04.11.2011|
Cycleenergy Gresten GmbH,+43,01 537030,01 53703130, office@cycleenergy.com, www.cycleenergy.com,UniCredit Bank Austria AG 1010 Wien (12000),Hietzinger Hauptstraße,66,1130,Wien,Wien 13.?Hietzing,Wien,AT,Wien,GmbH,35300Wärme- und Kälteversorgung,Geschäftsführer? vertritt seit 08.11.2016 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Christoph Bruckner (m)f401490541#p401490541?402593486?120iconCompProfLink1984? Wien|N/A|29.11.2016|!Geschäftsführer? vertritt seit 08.11.2016 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Mag. Michael Moser (m)f401490541#p401490541?402593485?120iconCompProfLink1981? Wien|N/A|29.11.2016|
Cyklop Austria GmbH,+43,02236 377773,02236 37777310, office@cyklop.at, www.cyklop.at,Oberbank AG? Zweigniederlassung Wien 1030 Wien? UniCredit Bank Austria AG 1030 Wien (15150? 20151),IZ NÖ Süd Straße,2,2351,Wr. Neudorf,Mödling,Niederösterreich,AT,Wr. Neudorf,GmbH,46691Großhandel mit Flurförderzeugen und Fahrzeugen a. n. g.,Geschäftsführer? vertritt seit 09.07.2015 selbständig|Roland Gerhardus Pot (m)f401163819#p401163819?402497747?120iconCompProfLink1970|N/A|24.07.2015|
CYPAP PAPIER Handels GmbH,+43,01 52667780,01 5232916, vienna@bomo-cypap.com, www.bomo-cypap.com,UniCredit Bank Austria AG 1030 Wien (20151),Viktorgasse,5,1040,Wien,Wien  4.?Wieden,Wien,AT,Wien,GmbH,46494Großhandel mit Karton? Papier? Pappe? Schreibwaren? Bürobedarf? Büchern? Zeitschriften und Zeitungen,Geschäftsführer? vertritt seit 27.05.2013 selbständig|Constantin Atnas (m)f400951480#p400951480?402385685?120iconCompProfLink1978? Wien|N/A|12.09.2013|!Geschäftsführer? vertritt seit 17.07.2000 selbständig|Dipl.Ing. Mücahit Zengin (m)f400951480#p400951480?401073017?120iconCompProfLink1968? Wien|N/A|22.01.2000|
Cyrill Blei Ges.m.b.H.,+43,02942 22530,02942 225312, g.blei@baeckerei-blei.at, www.baeckerei-blei.at,N/A,Hauptplatz,22,2070,Retz,Hollabrunn,Niederösterreich,AT,Retz,GmbH,10710Herstellung von Backwaren (ohne Dauerbackwaren),Geschäftsführer? vertritt seit 30.12.1995 selbständig|Gerold Blei (m)f400824482#p400824482?400824483?120iconCompProfLink1966? Retz|N/A|30.12.1995|
CYTA-Errichtungs- und Management GmbH & CO KG,+43,0512 304618,0512 302095, office@ekz-cyta.com, www.ekz-cyta.com,HYPO TIROL BANK AG 6020 Innsbruck (57000),Florianigasse,15,6370,Kitzbühel,Kitzbühel,Tirol,AT,Kitzbühel,KG,68322Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte,
Czech Holding GmbH,+43,02236 335480,02236 3354811, office@czech.at, www.czech.at? 		  www.reinraum.at,Bankhaus Schelhammer & Schattera Aktiengesellschaft 1010 Wien? UniCredit Bank Austria AG 1030 Wien (19190? 20151),Gscheid,3,3195,Kernhof,Lilienfeld,Niederösterreich,AT,Kernhof,GmbH,46742Großhandel mit Installationsbedarf für Gas? Wasser und Heizung,Geschäftsführer? vertritt seit 06.12.2007 selbständig|Roland Czech (m)f400046237#p400046237?400595726?120iconCompProfLink1963? Brunn am Gebirge|N/A|08.12.2007|
Czeczelits GmbH,+43,02622 229180,02622 2291821, wrneustadt@czeczelits.at, www.czeczelits.at,Oberbank AG 2700 Wr. Neustadt? UniCredit Bank Austria AG 2700 Wr. Neustadt? Sparkasse Neunkirchen 2620 Neunkirchen (15024? 11990? 20241),Zehnergürtel,40-52,2700,Wr. Neustadt,Wiener Neustadt(Stadt),Niederösterreich,AT,Wr. Neustadt,GmbH,45110Handel mit Kraftwagen mit einem Gesamtgewicht von 3?5 t oder weniger,Geschäftsführer? vertritt seit 10.08.2007 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Franz Heinz Czeczelits (m)f400000298#p400000298?400382628?120iconCompProfLink1967? Wr. Neustadt|N/A|23.05.1995|!Geschäftsführer? vertritt seit 10.08.2007 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Helmut Edlinger (m)f400000298#p400000298?401633017?120iconCompProfLink1969? Gloggnitz|N/A|28.09.2007|!Geschäftsleitung? vertritt seit 10.08.2007 gemeinsam mit einem Geschäftsführer oder einem weiteren Gesamtprokuristen|Petra Czeczelits (w)f400000298#p400000298?400976164?131iconCompProfLink1969? Wr. Neustadt|Prokura|28.09.2007|
Czermak Handels-GmbH,+43,0662 420665,0662 4206654, office@czermak.at, www.czermak.at,Oberbank AG? Zweigniederlassung Salzburg 5020 Salzburg? Raiffeisenbank Salzburg-Liefering eGen 5020 Salzburg (15090? 35034),Franz Peyerl-Straße,6,5071,Wals,Salzburg(Stadt),Salzburg,AT,Wals,GmbH,46743Großhandel mit Metall- und Kunststoffwaren für Bauzwecke ,Geschäftsführer? vertritt seit 28.05.2014 selbständig|Johann Gruber (m)f401013641#p401013641?402333296?120iconCompProfLink1972? Oberalm|N/A|06.06.2014|
Czernin-Kinsky Forstgut Rosenhof GmbH & Co.KG,+43,07944 8202,07944 82026, office@rosenhof.co.at, www.rosenhof.co.at,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft Zweigniederlassung Freistadt 4240 Freistadt (20320),Rosenhof,2,4251,Sandl,Freistadt,Oberösterreich,AT,Sandl,KG,02400Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag,Geschäftsleitung? vertritt seit 05.10.2016 selbständig|Christian Schwaiger (m)f400534121#p400534121?402083266?131iconCompProfLink1978|Prokura|13.10.2016|
Czerny Betriebs KG,+43,03185 22941,03185 2294118, N/A,N/A,N/A,Wettmannstätten,6,8521,Wettmannstätten,Deutschlandsberg,Steiermark,AT,Wettmannstätten,KG,47301Einzelhandel in fremdem Namen mit Motorenkraftstoffen (Agenturtankstellen),Geschäftsleitung? vertritt seit 12.08.2009 selbständig|Tina Kirchgrabner (w)f401343008#p401343008?401724893?131iconCompProfLink1985? Königsdorf|Prokura|08.09.2009|
